Year,Member State,Region,8 Types of Farming,Economic Size,(SE010) Total labour input (AWU),(SE025) Total Utilised Agricultural Area (ha),(SE080) Total livestock units (LU),(SE131) Total output (€/farm),(SE132) Total output / Total input (ratio),(SE135) Total output crops & crop production (€/farm),(SE136) Total crops output (€/ha),(SE206) Total output livestock & livestock products (€/farm),(SE270) Total Inputs (€),(SE281) Total specific costs (€),(SE284) Specific crop costs (€/ha),(SE285) Seeds and plants (€),(SE295) Fertilisers (€),(SE300) Crop protection (€),(SE305) Other crop specific costs (€),(SE309) Specific livestock costs (€/LU),(SE345) Energy (€),(SE410) Gross Farm Income (€),(SE415) Farm Net Value Added (€),(SE425) Farm Net Value Added (€/AWU),(SE605) Total subsidies - excluding on investments (€)
2019,EU27_2020,(545) Castilla y León,(2) Horticulture,(5) 100 000 - < 500 000 EUR,4.86,5.6,0,213953,0.99,213953,59431.25,0,216954,82017,14645.89,61705,4254,1862,14198,-,7698,97334,76852,15796.94,0
2019,EU27_2020,(545) Castilla y León,(2) Horticulture,(6) >= 500 000 EUR,20.46,40.47,11.46,2076660,1.74,2067736,51090.95,8924,1190280,553674,13679.28,73110,79177,59585,341752,4.45,41899,1293339,1255788,61374.57,1605
2019,EU27_2020,(545) Castilla y León,(3) Wine,(2) 8 000 - < 25 000 EUR,1.25,13.63,0,33225,1.18,33225,2438,0,28248,5844,428.82,946,2022,2380,496,-,2383,21929,17443,13987.61,4188
2019,EU27_2020,(545) Castilla y León,(3) Wine,(3) 25 000 - < 50 000 EUR,1.54,24.45,0,35220,0.89,35220,1440.58,0,39537,8099,331.28,1397,3047,2520,1136,-,2751,25662,21244,13825.87,7580
2019,EU27_2020,(545) Castilla y León,(3) Wine,(4) 50 000 - < 100 000 EUR,2.01,39.14,0,128691,1.02,128691,3288.16,0,125564,25686,656.31,3571,6923,6832,8362,-,4563,76012,53458,26629.84,11337
2019,EU27_2020,(545) Castilla y León,(3) Wine,(5) 100 000 - < 500 000 EUR,2.27,90.38,0,276540,2.22,276540,3059.75,0,124844,38253,423.25,7909,14670,13583,2091,-,6966,205920,205343,90531.35,18058
2019,EU27_2020,(545) Castilla y León,(5) Milk,(3) 25 000 - < 50 000 EUR,0.89,31,10.22,47491,1.22,27313,881.06,20178,38818,17940,205.26,2050,3738,510,65,1132.78,1285,27580,21653,24328.71,6709
2019,EU27_2020,(545) Castilla y León,(5) Milk,(4) 50 000 - < 100 000 EUR,1.77,44.98,20.56,82881,1.54,38790,862.38,44091,53975,35580,185.44,2331,5023,671,316,1324.85,1960,50184,47235,26686.7,12936
2019,EU27_2020,(545) Castilla y León,(5) Milk,(5) 100 000 - < 500 000 EUR,2.23,63.6,87.39,239072,1.26,29803,495.58,208820,189284,135971,104.76,1871,3991,530,270,1479.65,12597,99428,91681,41111.1,27634
2019,EU27_2020,(545) Castilla y León,(5) Milk,(6) >= 500 000 EUR,7.02,118.74,403.06,1132965,1.15,89903,818.23,1026022,982741,664048,189.9,2516,13878,2807,3348,1591.58,42731,386031,335198,47720.4,78395
2019,EU27_2020,(545) Castilla y León,(6) Other grazing livestock,(2) 8 000 - < 25 000 EUR,0.94,33.75,21.86,17475,1.42,3134,92.85,14172,12304,8300,17.28,135,211,63,174,352.98,477,12669,12491,13335.18,5318
2019,EU27_2020,(545) Castilla y León,(6) Other grazing livestock,(3) 25 000 - < 50 000 EUR,1.02,42.4,28.74,32457,1.48,6439,151.87,25693,21902,14396,39.13,460,706,228,265,443.16,1021,22563,21679,21254.4,8172
2019,EU27_2020,(545) Castilla y León,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,1.19,44.26,40.07,71402,1.56,15358,347.48,55535,45736,29124,75.08,986,1751,366,220,643.86,2101,44294,41007,34468.31,10575
2019,EU27_2020,(545) Castilla y León,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,1.89,91.68,79.51,153106,1.31,31161,348.8,121507,116906,71018,98.24,2501,4798,1302,406,779.91,5100,85751,78668,41683.48,21212
2019,EU27_2020,(545) Castilla y León,(6) Other grazing livestock,(6) >= 500 000 EUR,16.6,251.86,556.44,1548349,1.11,68889,282.65,1479460,1396333,969953,6.71,350,0,216,1125,1513.2,31682,541584,522386,31478.5,73555
2019,EU27_2020,(545) Castilla y León,(7) Granivores,(3) 25 000 - < 50 000 EUR,0.89,10.44,19.86,33869,1.25,2654,254.21,31215,27060,22691,66.57,149,483,63,0,1107.35,512,8350,7963,8947.02,828
2019,EU27_2020,(545) Castilla y León,(7) Granivores,(4) 50 000 - < 100 000 EUR,0.89,25.9,43.39,54563,1.08,13180,508.88,41383,50747,38568,148.42,1432,1689,433,290,800.37,2142,13021,9609,10796.79,3118
2019,EU27_2020,(545) Castilla y León,(7) Granivores,(5) 100 000 - < 500 000 EUR,1.66,35.56,145.68,231686,1.2,21679,627.1,209652,193108,152311,202.89,2169,4095,858,93,996,6276,64119,57000,34438.52,7830
2019,EU27_2020,(545) Castilla y León,(7) Granivores,(6) >= 500 000 EUR,7.35,34.74,2274.55,2023434,1.67,27150,797.91,1996284,1208282,923471,281.9,3151,4709,1627,306,401.7,51205,1004822,971747,132157.23,3133
2019,EU27_2020,(545) Castilla y León,(8) Mixed,(3) 25 000 - < 50 000 EUR,0.93,36.33,31.99,30791,1.79,6266,172.47,23513,17164,11281,26.52,314,463,128,58,322.53,1656,21876,21489,23106.68,7014
2019,EU27_2020,(545) Castilla y León,(8) Mixed,(4) 50 000 - < 100 000 EUR,1.05,57.9,36.28,64946,1.2,27535,481.1,36207,53918,33407,155.92,2252,5179,1197,400,671.9,3516,27260,23830,22799.34,9188
2019,EU27_2020,(545) Castilla y León,(8) Mixed,(5) 100 000 - < 500 000 EUR,1.85,145.61,60.86,147915,1.08,65901,476.75,79215,137555,75084,170.66,6365,12251,3532,2703,825.4,8379,69653,61489,33262.62,27632
2019,EU27_2020,(535) Cataluña,(1) Fieldcrops,(2) 8 000 - < 25 000 EUR,0.87,14.11,0,21270,0.93,20363,1578.61,0,22984,5844,406.99,1801,2483,1394,63,-,1918,11778,8058,9237.12,7077
2019,EU27_2020,(535) Cataluña,(1) Fieldcrops,(3) 25 000 - < 50 000 EUR,1.07,30.87,0,44564,0.99,43828,1491.5,0,44871,12525,404.2,3010,5009,4236,222,-,3282,29190,24057,22396.48,14644
2019,EU27_2020,(535) Cataluña,(1) Fieldcrops,(4) 50 000 - < 100 000 EUR,1.25,54.53,0.26,88945,1.01,85814,1644.21,43,87856,25745,469.38,6199,10761,8371,263,577.53,5570,62172,51192,40873.31,31018
2019,EU27_2020,(535) Cataluña,(1) Fieldcrops,(5) 100 000 - < 500 000 EUR,2.36,98.64,0,195272,0.9,190381,1962.45,-146,216706,62980,625.15,14138,23302,20845,3378,-,14534,119371,102037,43228.76,60467
2019,EU27_2020,(535) Cataluña,(2) Horticulture,(3) 25 000 - < 50 000 EUR,1.55,8.02,0,47300,1.75,47299,7267.4,0,26957,5865,731.45,2199,1416,1748,502,-,3272,35687,31810,20567.03,3444
2019,EU27_2020,(535) Cataluña,(2) Horticulture,(4) 50 000 - < 100 000 EUR,2.36,16.43,0,67563,1.29,67563,4154.64,0,52302,15154,922.47,7418,3226,2445,2064,-,3830,49957,45961,19467.53,9571
2019,EU27_2020,(535) Cataluña,(2) Horticulture,(5) 100 000 - < 500 000 EUR,13.54,17.49,0,551835,1,551835,32691.65,0,550281,154621,8840.52,51073,7298,7043,89208,-,26042,299823,272467,20119.32,7126
2019,EU27_2020,(535) Cataluña,(3) Wine,(2) 8 000 - < 25 000 EUR,1.36,7.42,0,19970,1.24,19970,2824.61,0,16144,1660,223.72,0,495,1165,0,-,1218,15521,12426,9114.87,1557
2019,EU27_2020,(535) Cataluña,(3) Wine,(3) 25 000 - < 50 000 EUR,1.67,17.86,0,46349,1.32,43775,2621.9,0,34986,3754,210.21,73,1121,1800,761,-,2213,36734,29996,17995.17,4209
2019,EU27_2020,(535) Cataluña,(3) Wine,(4) 50 000 - < 100 000 EUR,2.16,27.26,0,91433,1.72,81021,3088.66,0,53241,7809,263.21,122,2037,3954,1063,-,3401,76867,67631,31304.9,5745
2019,EU27_2020,(535) Cataluña,(3) Wine,(5) 100 000 - < 500 000 EUR,4.71,72.84,0,218031,1.53,214499,3112.97,0,142755,18950,259.62,371,5254,10387,2898,-,9052,180068,158986,33723.35,16107
2019,EU27_2020,(535) Cataluña,(4) Other permanent crops,(2) 8 000 - < 25 000 EUR,1.2,20.5,0,28561,1.26,28280,1402.51,0,22757,4640,226.32,20,2573,1920,127,-,1949,23123,19448,16182.11,8723
2019,EU27_2020,(535) Cataluña,(4) Other permanent crops,(3) 25 000 - < 50 000 EUR,1.49,19.18,0,58634,1.55,58143,3233.89,0,37845,10032,523.13,163,4822,4141,906,-,2626,42117,37731,25288.29,8098
2019,EU27_2020,(535) Cataluña,(4) Other permanent crops,(4) 50 000 - < 100 000 EUR,2.27,20.53,0,108901,1.46,107921,6090.83,0,74416,16492,803.34,480,6375,8891,746,-,4774,73879,67854,29908.97,6359
2019,EU27_2020,(535) Cataluña,(4) Other permanent crops,(5) 100 000 - < 500 000 EUR,5.33,36.31,0.33,259761,1.29,257617,7460.22,482,200664,49746,1358.39,782,15121,27773,5646,1285.95,8961,159407,145232,27231.31,12322
2019,EU27_2020,(535) Cataluña,(4) Other permanent crops,(6) >= 500 000 EUR,27.5,121.75,0,2071170,1.78,2071170,17343.58,0,1166490,295226,2424.79,7763,75271,81303,130889,-,31956,1581690,1544647,56168.34,26951
2019,EU27_2020,(535) Cataluña,(5) Milk,(5) 100 000 - < 500 000 EUR,2.36,79.51,113.51,273956,0.94,36268,737.95,231573,291376,170701,94.32,3944,1203,1597,756,1366.03,20361,57419,35635,15117.72,32791
2019,EU27_2020,(535) Cataluña,(5) Milk,(6) >= 500 000 EUR,4.26,107.57,341.47,799681,1.05,86145,820.1,682191,759769,429067,205.82,8624,6852,5952,712,1191.7,44212,237317,187468,44045.47,58662
2019,EU27_2020,(535) Cataluña,(6) Other grazing livestock,(2) 8 000 - < 25 000 EUR,1,36.15,18.89,18512,0.94,668,18.5,15988,19613,9607,4.34,157,0,0,0,500.14,1330,9069,8773,8772.65,5185
2019,EU27_2020,(535) Cataluña,(6) Other grazing livestock,(3) 25 000 - < 50 000 EUR,0.95,87.88,32.05,19414,0.82,6413,77.1,13001,23793,11110,7.19,432,200,0,0,326.97,1682,19748,18849,19772.02,18756
2019,EU27_2020,(535) Cataluña,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,1.51,76.16,42.04,59454,1.1,12787,222.98,43969,54277,27706,28.28,685,786,593,89,604.91,3838,41410,36075,23900.13,23418
2019,EU27_2020,(535) Cataluña,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,1.87,249.67,117.73,127403,0.98,28128,138.56,94155,129797,68163,28.52,2802,2131,1952,236,518.48,6675,80397,70088,37442.86,53896
2019,EU27_2020,(535) Cataluña,(6) Other grazing livestock,(6) >= 500 000 EUR,2.5,72.04,357.27,617659,1.08,56540,818.57,560835,569317,449232,185.01,6736,1696,4546,349,1220.09,11745,173580,159535,63725.53,57234
2019,EU27_2020,(535) Cataluña,(7) Granivores,(4) 50 000 - < 100 000 EUR,1.1,3.16,55.09,69855,1.6,18254,5776.81,51601,43579,22920,831.53,565,359,1460,243,368.33,2257,30529,26350,23939.18,68
2019,EU27_2020,(535) Cataluña,(7) Granivores,(5) 100 000 - < 500 000 EUR,1.77,35.37,293.09,184637,1.42,34716,1168.62,142994,130352,65568,207.06,2066,2524,2637,99,189.31,9900,95438,80599,45553.92,10286
2019,EU27_2020,(535) Cataluña,(7) Granivores,(6) >= 500 000 EUR,2.76,55.73,938.78,438846,1.28,58158,1130.49,377024,343054,173585,222.86,3533,3730,4880,277,171.67,23014,201457,162484,58849.63,15429
2019,EU27_2020,(535) Cataluña,(8) Mixed,(2) 8 000 - < 25 000 EUR,1,0,0,24775,2.06,0,-,24775,12022,2146,-,0,0,0,0,-,2542,22308,17328,17328,5243
2019,EU27_2020,(535) Cataluña,(8) Mixed,(3) 25 000 - < 50 000 EUR,1.9,7.5,0,43225,0.77,4000,533.33,36862,55933,23029,57.47,0,142,289,0,-,5260,15474,9483,5004.02,8765
2019,EU27_2020,(535) Cataluña,(8) Mixed,(4) 50 000 - < 100 000 EUR,1.19,37.59,25.25,80875,1.2,35256,1083.91,44966,67555,18946,224.54,2041,4048,2350,0,351.68,5794,54391,46161,38802.5,16898
2019,EU27_2020,(535) Cataluña,(8) Mixed,(5) 100 000 - < 500 000 EUR,2.1,116.84,183.92,177916,0.96,52368,688.09,76382,185421,84071,116.46,4177,5227,3810,393,261.48,13529,75097,52400,24907.73,32985
2019,EU27_2020,(535) Cataluña,(8) Mixed,(6) >= 500 000 EUR,3.5,112.68,455.8,536514,1.38,90877,813.43,403793,389969,216905,120.01,3924,4986,4476,137,424.25,17976,263750,227099,64954.87,30514
2019,EU27_2020,(540) Islas Baleares,(1) Fieldcrops,(2) 8 000 - < 25 000 EUR,1.13,25.33,0.54,10458,1.06,10135,719.11,324,9862,1819,65.3,989,221,133,311,309.13,2116,15931,12873,11389.76,11232
2019,EU27_2020,(540) Islas Baleares,(1) Fieldcrops,(3) 25 000 - < 50 000 EUR,1.1,26.05,1.46,41441,1.6,40837,2141.42,603,25961,10651,392.75,4513,2596,2966,155,288.96,4014,29670,26050,23616.37,5329
2019,EU27_2020,(540) Islas Baleares,(1) Fieldcrops,(4) 50 000 - < 100 000 EUR,1.47,26.06,0.9,58330,1.1,56769,2396.92,860,53175,19954,749.92,6759,7862,4862,58,136.58,12739,24933,16058,10903.19,5424
2019,EU27_2020,(540) Islas Baleares,(1) Fieldcrops,(5) 100 000 - < 500 000 EUR,3.99,128.44,5.97,187939,1.19,179830,1545.68,8109,158165,63832,476.55,22856,23216,14251,884,439.39,18888,107147,95062,23850.7,18222
2019,EU27_2020,(540) Islas Baleares,(2) Horticulture,(2) 8 000 - < 25 000 EUR,1.34,8.8,0,17165,1.76,17165,5175.38,0,9741,3189,362.42,884,822,186,1297,-,1488,12409,10661,7975.56,2128
2019,EU27_2020,(540) Islas Baleares,(2) Horticulture,(3) 25 000 - < 50 000 EUR,2.86,10.7,0,116897,1.78,116897,18540.36,0,65650,20821,1946.8,6433,6510,2367,5512,-,6047,86134,84745,29674.81,2161
2019,EU27_2020,(540) Islas Baleares,(2) Horticulture,(4) 50 000 - < 100 000 EUR,2.3,10.25,0,88756,1.68,88756,14178.34,0,52968,17742,1730.57,11663,1751,3739,589,-,5651,57514,53560,23269.67,974
2019,EU27_2020,(540) Islas Baleares,(2) Horticulture,(5) 100 000 - < 500 000 EUR,2.83,1.98,0,95148,1.57,95148,51292.45,0,60660,11650,5883.71,2388,3477,3456,2328,-,5272,77813,67472,23849.7,7601
2019,EU27_2020,(540) Islas Baleares,(2) Horticulture,(6) >= 500 000 EUR,13.65,49.1,0,416631,1.32,416631,12761.82,0,315381,101277,2062.67,71059,9158,14848,6212,-,26794,271915,258547,18943.96,7284
2019,EU27_2020,(540) Islas Baleares,(3) Wine,(2) 8 000 - < 25 000 EUR,0.96,7.45,0,22434,1.89,22434,3011.28,0,11901,2217,297.58,0,820,535,862,-,784,29874,25250,26207.54,11867
2019,EU27_2020,(540) Islas Baleares,(3) Wine,(3) 25 000 - < 50 000 EUR,2.87,15.47,0,126042,2.17,126042,8149.27,0,58019,20833,1346.94,0,1298,1396,18138,-,3474,102688,100412,35023.45,4259
2019,EU27_2020,(540) Islas Baleares,(3) Wine,(5) 100 000 - < 500 000 EUR,31,105.03,0,1683311,1.34,1683311,16078.5,0,1252418,458031,4361.1,0,116720,75898,265413,-,61179,1088358,1067194,34425.05,0
2019,EU27_2020,(540) Islas Baleares,(4) Other permanent crops,(2) 8 000 - < 25 000 EUR,1.53,56.04,6.11,53923,1.56,51963,970.51,1960,34481,3634,51.84,0,1364,1361,181,119.34,3287,48503,41218,26879.04,10308
2019,EU27_2020,(540) Islas Baleares,(4) Other permanent crops,(3) 25 000 - < 50 000 EUR,1.55,32.96,0.38,37544,1.25,37315,1133.84,229,29983,6298,186.13,68,4860,1077,129,431.58,4506,26749,22210,14338.4,7238
2019,EU27_2020,(540) Islas Baleares,(4) Other permanent crops,(4) 50 000 - < 100 000 EUR,1.14,55,10.05,19765,2.02,13325,242.27,6440,9775,1681,20.81,236,909,0,0,53.38,1571,16214,13094,11536.19,2604
2019,EU27_2020,(540) Islas Baleares,(4) Other permanent crops,(5) 100 000 - < 500 000 EUR,1,47.77,1.77,4255,0.39,5182,108.48,-927,10858,99,0.77,37,0,0,0,35.03,1252,-1198,-6520,-6519.56,0
2019,EU27_2020,(540) Islas Baleares,(5) Milk,(3) 25 000 - < 50 000 EUR,2,26,16.42,43119,1.44,5832,224.31,37287,30011,23305,57.88,688,754,63,0,926.8,2761,22710,21503,10751.4,7765
2019,EU27_2020,(540) Islas Baleares,(5) Milk,(4) 50 000 - < 100 000 EUR,1.25,16.5,35.84,113197,1.2,5121,310.36,108076,94148,67306,37.82,545,79,0,0,760.13,7561,43604,37798,30238.8,12336
2019,EU27_2020,(540) Islas Baleares,(5) Milk,(5) 100 000 - < 500 000 EUR,2.52,88.85,85.29,196666,0.97,23530,296.38,173136,203648,130727,127.96,2110,8721,263,275,1173.85,13540,59191,50427,20001.38,27543
2019,EU27_2020,(540) Islas Baleares,(6) Other grazing livestock,(2) 8 000 - < 25 000 EUR,1.33,15.6,14.03,13659,1.49,2148,174.95,4730,9178,4701,50.19,485,298,0,0,145.04,987,15510,14131,10654.64,9781
2019,EU27_2020,(540) Islas Baleares,(6) Other grazing livestock,(3) 25 000 - < 50 000 EUR,1.18,68.95,18.23,20597,0.72,11350,207.68,8868,28792,11394,50.07,1383,2070,0,0,422.1,2560,18080,15330,13033.44,17237
2019,EU27_2020,(540) Islas Baleares,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,1.36,79.96,28.04,37768,0.96,21564,276.96,13590,39182,14671,46.33,1657,2014,34,0,358.49,6955,39534,34928,25672.05,29444
2019,EU27_2020,(540) Islas Baleares,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,2.33,304.07,104.71,130685,0.91,21688,73.13,107286,143490,94311,19.13,2437,3332,47,0,830.03,8855,52558,46251,19869.77,33177
2019,EU27_2020,(540) Islas Baleares,(6) Other grazing livestock,(6) >= 500 000 EUR,2,400,200,745100,1.69,210100,525.25,535000,442064,303728,190.57,49273,23636,3319,0,1137.5,63471,418275,376810,188405,47574
2019,EU27_2020,(540) Islas Baleares,(7) Granivores,(2) 8 000 - < 25 000 EUR,0.5,40.35,11.67,14641,1.63,4602,148.26,10039,8982,4709,38.39,382,1066,101,0,270.8,1007,26311,26138,52275.69,18010
2019,EU27_2020,(540) Islas Baleares,(7) Granivores,(5) 100 000 - < 500 000 EUR,3.82,38.8,376.85,410955,1.22,64114,2300.05,346841,336272,269787,206.65,7518,500,0,0,694.62,17704,103929,97735,25611.02,2802
2019,EU27_2020,(540) Islas Baleares,(7) Granivores,(6) >= 500 000 EUR,5,0,583.9,990607,2.08,0,-,990607,476199,284820,-,0,0,0,0,487.79,73654,586804,562833,112566.61,0
2019,EU27_2020,(540) Islas Baleares,(8) Mixed,(2) 8 000 - < 25 000 EUR,1.53,52.89,8.23,24926,0.86,18258,379.19,5978,28990,4304,22.37,282,523,0,378,378.97,1864,30224,25037,16326.79,13186
2019,EU27_2020,(540) Islas Baleares,(8) Mixed,(3) 25 000 - < 50 000 EUR,1.61,56.86,10.15,28725,1.18,14723,266.88,4119,24306,5937,38.76,837,554,571,241,157.8,4064,28153,21260,13233.84,14339
2019,EU27_2020,(540) Islas Baleares,(8) Mixed,(4) 50 000 - < 100 000 EUR,1.38,106.25,34.09,40270,1.1,15496,154.93,22551,36756,9873,40.76,1068,2928,125,210,143.22,5696,51952,40814,29483.8,32054
2019,EU27_2020,(540) Islas Baleares,(8) Mixed,(5) 100 000 - < 500 000 EUR,2.82,167.74,95.68,130798,1.14,30644,193.45,67898,114837,44331,54.94,3071,4269,1746,131,256.16,15660,112017,102729,36421.51,52081
2019,EU27_2020,(540) Islas Baleares,(8) Mixed,(6) >= 500 000 EUR,10.46,77.74,424.95,840761,1.03,12071,160.22,676326,815828,606365,260.28,2729,7365,2353,7786,1286.45,6665,314579,307841,29422.99,117720
2019,EU27_2020,(575) Andalucía,(1) Fieldcrops,(2) 8 000 - < 25 000 EUR,0.9,27.5,0,26188,1.29,26186,1214.24,0,20312,6865,249.59,1710,3006,2061,87,-,2339,18794,17131,18977.38,8473
2019,EU27_2020,(575) Andalucía,(1) Fieldcrops,(3) 25 000 - < 50 000 EUR,0.93,37.8,0.65,46374,1.36,45684,1400.04,535,34184,12027,306.95,3284,4886,3103,331,650.21,3443,31691,29181,31529.68,13868
2019,EU27_2020,(575) Andalucía,(1) Fieldcrops,(4) 50 000 - < 100 000 EUR,1.49,60.5,0.2,98772,1.47,98751,1690.02,21,66969,22722,374.99,6216,9400,6131,941,172.68,5710,71385,67509,45344.89,22061
2019,EU27_2020,(575) Andalucía,(1) Fieldcrops,(5) 100 000 - < 500 000 EUR,2.63,123.62,0,268441,1.34,268441,2175.7,0,200294,66985,541.88,23503,23368,19646,468,-,17020,185509,174298,66379.98,50570
2019,EU27_2020,(575) Andalucía,(1) Fieldcrops,(6) >= 500 000 EUR,13.4,306.92,0,1834382,1.81,1834382,6047.95,0,1014845,411420,1340.48,162746,133617,111261,3796,-,49793,1367244,1338619,99925.13,137470
2019,EU27_2020,(575) Andalucía,(2) Horticulture,(2) 8 000 - < 25 000 EUR,1.07,1.25,0,44737,1.99,44737,36536.74,0,22429,9697,7763.82,4017,2461,2945,273,-,2660,27708,25227,23587.01,88
2019,EU27_2020,(575) Andalucía,(2) Horticulture,(3) 25 000 - < 50 000 EUR,1.95,1.35,0,69867,1.48,69867,59281.98,0,47199,18677,13862.34,7866,4669,5497,644,-,3326,39693,35503,18246.87,0
2019,EU27_2020,(575) Andalucía,(2) Horticulture,(4) 50 000 - < 100 000 EUR,3.57,2.39,0.01,144488,1.32,144484,61403.81,4,109356,34358,14367.86,14775,8185,10164,1229,476.8,4878,88435,79979,22391.25,588
2019,EU27_2020,(575) Andalucía,(2) Horticulture,(5) 100 000 - < 500 000 EUR,9.19,6.77,0,374580,1.38,374580,55843.51,0,271592,66416,9812.93,28681,17727,17500,2508,-,9932,281728,266203,28981.1,620
2019,EU27_2020,(575) Andalucía,(2) Horticulture,(6) >= 500 000 EUR,22.33,57.69,0,1496317,1.9,1496317,26199.39,0,787320,226141,3920.12,103397,59986,53714,9045,-,42511,1172779,1145177,51275.53,8895
2019,EU27_2020,(575) Andalucía,(3) Wine,(2) 8 000 - < 25 000 EUR,0.84,9.19,0,28462,1.69,28462,3736.52,0,16851,4266,464.32,8,2596,1536,126,-,2384,18874,17686,21099.62,1815
2019,EU27_2020,(575) Andalucía,(3) Wine,(3) 25 000 - < 50 000 EUR,1.04,13.55,0,44665,1.64,44665,3296.29,0,27219,6867,506.75,0,4549,2136,182,-,3008,33776,31483,30260.02,3633
2019,EU27_2020,(575) Andalucía,(3) Wine,(4) 50 000 - < 100 000 EUR,2.36,26.25,0,133035,1.43,133035,5129.55,0,93060,34691,1321.54,0,20695,13995,0,-,2533,85821,72477,30656.63,3444
2019,EU27_2020,(575) Andalucía,(3) Wine,(5) 100 000 - < 500 000 EUR,3.73,137.62,0,384446,1.62,384446,2794.19,0,237561,103042,748.73,2940,37104,60657,2342,-,12145,256966,243351,65201.85,29879
2019,EU27_2020,(575) Andalucía,(4) Other permanent crops,(2) 8 000 - < 25 000 EUR,1.04,14.91,0.08,36615,1.72,36551,2510.17,64,21316,4436,296.45,91,2478,1668,184,186.68,1796,31060,27489,26428.49,5056
2019,EU27_2020,(575) Andalucía,(4) Other permanent crops,(3) 25 000 - < 50 000 EUR,1.52,27.08,0.11,56148,1.51,56118,2111.36,29,37302,8538,315.09,99,5338,2882,213,61.37,2539,48722,43558,28726.27,11812
2019,EU27_2020,(575) Andalucía,(4) Other permanent crops,(4) 50 000 - < 100 000 EUR,2.06,49.19,0.57,96818,1.58,96377,1978.01,442,61112,16285,329.79,508,10610,4748,356,111.85,4588,83115,75183,36424.07,17980
2019,EU27_2020,(575) Andalucía,(4) Other permanent crops,(5) 100 000 - < 500 000 EUR,5.4,135.75,2.47,310065,1.33,308298,2333.9,1351,232739,60648,442.69,671,33927,23726,1772,223.52,17197,231358,215739,39930.27,54386
2019,EU27_2020,(575) Andalucía,(4) Other permanent crops,(6) >= 500 000 EUR,27.26,278.68,0,1807247,1.77,1807247,6486.24,0,1023643,225357,808.67,4220,116336,99849,4952,-,69733,1463684,1433004,52565.65,67804
2019,EU27_2020,(575) Andalucía,(5) Milk,(4) 50 000 - < 100 000 EUR,0.87,12.5,28.77,55428,2.36,2854,228.32,52574,23492,15047,71.64,0,576,320,0,491.87,3789,39030,36863,42615.94,4683
2019,EU27_2020,(575) Andalucía,(5) Milk,(5) 100 000 - < 500 000 EUR,1.98,51.59,127.23,250054,1.34,2811,74.39,247243,186470,142707,34.15,596,1166,0,0,1107.77,8311,107976,99607,50298.88,23597
2019,EU27_2020,(575) Andalucía,(5) Milk,(6) >= 500 000 EUR,3.08,46.27,295.23,499414,1.31,6531,184.14,492883,380398,295482,44.47,315,1287,107,348,993.87,20352,178156,168794,54839.89,26628
2019,EU27_2020,(575) Andalucía,(6) Other grazing livestock,(2) 8 000 - < 25 000 EUR,0.69,32.81,14.77,17671,1.45,929,28.32,12161,12224,6995,8.65,0,177,107,0,454.51,1159,12243,10213,14873.32,4511
2019,EU27_2020,(575) Andalucía,(6) Other grazing livestock,(3) 25 000 - < 50 000 EUR,0.91,53.48,25.61,41067,1.41,2953,61.53,38114,29100,17639,4.21,59,148,16,3,644.37,3007,23588,20716,22642.32,6575
2019,EU27_2020,(575) Andalucía,(6) Other grazing livestock,(4) 50 000 - < 100 000 EUR,1.27,108.83,56.45,63467,1.39,4632,46.95,58749,45630,27864,12.02,397,721,165,25,446.71,3405,47443,43850,34554.1,20794
2019,EU27_2020,(575) Andalucía,(6) Other grazing livestock,(5) 100 000 - < 500 000 EUR,1.8,299.98,125.95,97990,1.05,15514,53.84,82476,93195,58778,14.73,927,2759,721,11,431.61,6586,55785,50271,27872.33,34330
2019,EU27_2020,(575) Andalucía,(6) Other grazing livestock,(6) >= 500 000 EUR,6.93,616.54,1869.32,734309,1.15,2779,4.51,731530,639331,437199,0.38,74,163,0,0,233.75,26016,290280,275364,39748.43,89666
2019,EU27_2020,(575) Andalucía,(7) Granivores,(2) 8 000 - < 25 000 EUR,0.61,22.7,12.91,31581,1.9,0,0,31581,16627,10919,0,0,0,0,0,845.94,2228,17167,16510,26870.82,1916
2019,EU27_2020,(575) Andalucía,(7) Granivores,(3) 25 000 - < 50 000 EUR,1.39,2.04,37.38,146789,1.28,0,0,146789,114781,92785,0,0,0,0,0,2482.17,4223,44298,41633,30053.85,0
2019,EU27_2020,(575) Andalucía,(7) Granivores,(4) 50 000 - < 100 000 EUR,1.25,10.87,65.36,144905,2.04,0,0,144905,71046,56886,0,0,0,0,0,870.35,4982,76980,75217,60016.35,0
2019,EU27_2020,(575) Andalucía,(7) Granivores,(5) 100 000 - < 500 000 EUR,1.38,36.06,171.32,209286,1.77,3296,93.82,205932,118414,88373,6.19,64,59,67,33,514.54,8756,104052,98307,71304.15,1781
2019,EU27_2020,(575) Andalucía,(7) Granivores,(6) >= 500 000 EUR,2.77,6.84,1180.42,492387,1.68,7187,1181.77,485201,293489,181471,40.89,55,45,78,102,153.5,21080,263218,247152,89129.86,975
