crop_type;group;English name;Latin name;Spanish name;Part harvested;n_fix_code;cycle_crop;HI_est;Residues left in field (%);dm_h%;Nc_h (%);Pc_h (%);Kc_h (%);Cc_h (%);Cac_h (%);Mgc_h (%);Sc_h (%);Residues;dm_r%;Nc_r (%);Pc_r;Kc_r;Cc_r (%);Cac_r;Mgc_r;Sc_r
SWEETCLOVER_HAY;Forages;Sweetclover (hay);Melilotus sp.;Trébol dulce (heno);Biomass;Legume;Perennial;90;100;89,6;2,65;0,24;1,65;;;;;;89,6;2,65;0,24;1,65;;;;
TIMOTHY_HAY;Forages;Timothy (hay);Phleum pratense;Timothy (heno);Biomass;Non_legume;Annual;90;100;90,5;1,2;0,17;1,63;;;;;;90,5;1,2;0,17;1,63;;;;
TOBACCO_BURLEY;Sugar. oil & fiber crops;Tobacco Burley;Nicotiana Tabacum Brasiliensis L.;Tabaco Burley;Leaf + stem;Non_legume;Annual o pluriannual;80;100;75;4;0,31;3,86;;;;;Stalk;9;0,8;0,31;3,86;;;;
TOBACCO_FLUE;Sugar. oil & fiber crops;Tobacco Flue;Nicotiana Tabacum Brasiliensis L.;Tabaco Flue;Leaves;Non_legume;Annual o pluriannual;80;100;8;2,1;0,27;2;;;;;Stalk;9;0,8;0,27;2;;;;
TOMATO;Horticultural crops;Tomato;Lycopersicon esculentum;Tomate;Fruit;Non_legume;Annual;60;100;6;2,6;0,47;4,28;;0,013;0,01;0;Residues;20;1,8;0,1;1,9;;;;
TREFOIL_HAY;Forages;Trefoil-Birdsfoot (hay);Lotus corniculatus;Trébol-Pie de pájaro (heno);Biomass;Legume;Perennial;90;100;90;2,52;0,23;1,89;;;;;;90;2,52;0,23;1,89;;;;
TRITICALE;Cereals & pseudocereals;Triticale;x Triticosecale Wittmack;Triticale;Grain;Non_legume;Annual;35;10;89;2,45;0,34;0,57;;0,025;0,124;0;Straw;90;0,7;0,03;1,2;;;;
TURNIP_GREEN_CROP;Forages;Turnip (green chop) ;Brassica rapa var. rapa;Nabo (chuleta verde);Root;Non_legume;Annual;90;100;13,5;3,3;0,42;3,02;;;;;;13,5;3,3;0,42;3,02;;;;
VETCH_GREEN_FLOWERING;Forages;Vetch (green) flowering;Vicia sativa L.;Arveja (verde) floración;Biomass;Legume;Annual;90;100;25;3;0,8;2,5;;;;;;25;3;0,8;2,5;;;;
VETCH_HAIRY_HAY;Forages;Vetch-Hairy (hay);Vicia villosa L.;Arveja peluda (heno);Biomass;Legume;Annual;90;100;87,9;3,68;0,8;2,5;;;;;;87,8;2,6;0,8;2,5;;;;
VETCH_HAY;Forages;Vetch (hay) vegetative;Vicia sativa L.;Vicia (heno);Biomass;Legume;Annual;90;100;87,8;2,6;0,8;2,5;;;;;;87,8;2,6;0,8;2,5;;;;
VETCH_HAY_FLOWERING;Forages;Vetch (hay) flowering;Vicia sativa L.;Floración de veza (heno);Biomass;Legume;Annual;90;100;85;2,9;0,8;2,5;;;;;;85;2,9;0,8;2,5;;;;
WALNUT;Fruit trees. vines and shrubs;Walnut;Juglans regia;Nuez;Fruit;Non_legume;Perennial;60;100;93;0,2;0,22;0,41;;0,061;0,201;0;;0;0;0;0;;;;
WATERMELON;Horticultural crops;Watermelon;Citrullus lanatus;Sandía;Fruit;Non_legume;Annual;60;100;9;1,25;0,11;1,33;;0,007;0,01;0;Residues;9;3,3;1,3;4,2;;;;
WHEAT_BREAD_HARD;Cereals & pseudocereals;Wheat-Bread-Hard type;Triticum aestivum L.;Trigo blando;Grain;Non_legume;Annual;40;10;87,5;2,1;0,43;0,45;;0,027;0,126;0;Straw;90,4;0,64;0,06;1,2;;;;
WHEAT_BREAD_SOFT;Cereals & pseudocereals;Wheat-Bread-Soft type;Triticum aestivum L.;Trigo panificable;Grain;Non_legume;Annual;40;10;87,5;2,2;0,37;0,46;;0,025;0,124;0;Straw;90,5;0,65;0,06;1,2;;;;
WHEAT_DURUM;Cereals & pseudocereals;Wheat (durum);Triticum durum L.;Trigo duro;Grain;Non_legume;Annual;40;10;87,5;2,4;0,42;0,5;;0,034;0,144;0;Straw;90,5;0,65;0,06;1,2;;;;
WHEAT_HERBAGE;Cereals & pseudocereals;Wheat for silage;Triticum aestivum L.;;Biomass;Non_legume;Annual;90;10;37;1,45;0,55;1,05;;;;0;;37;0,6;0,2;1,5;;;;
WHITE_YAM;Roots. tubers & bulbs;White yam;Dioscorea rotundata;Ñame blanco;Tuber;Non_legume;;70;100;63,1;0,94;0,25;2,3;;0,012;0,012;0;;63,1;0,65;0,2;0,7;;;;
YELLOW_YAM;Roots. tubers & bulbs;Yellow yam;Dioscorea cayenensis;Ñame amarillo;Tuber;Non_legume;;70;100;58,3;0,99;0,25;2,3;;;;;;58,3;0,65;0,2;0,7;;;;
